Nesting_Site_Code;Nest_code;Animal_Species;Plot_Code;Vegetation_Type;VEG;Plant_Code;Tree_Site;Tree_Nest;T_L_R_H;Nest_height;Species_Code;Species;Family;Tree_Height;DBH;Nest_material;Integration;Nest_Type;Nest_Type2
S_Ch_008;N_Ch_032;Chimpanzee;Chim_071;Old secondary forest;OSF;Pl_1796;Pl_1796-S_Ch_008;Pl_1796-N_Ch_032;Tree;30;Esp_163;Heisteria parvifolia;Olacaceae;30;20.06;Tree;Tree-Tree;Top-Side;Height
S_Ch_008;N_Ch_032;Chimpanzee;Chim_071;Old secondary forest;OSF;Pl_1808;Pl_1808-S_Ch_008;Pl_1808-N_Ch_032;Tree;30;Esp_163;Heisteria parvifolia;Olacaceae;32;19.75;Tree;Tree-Tree;Top-Side;Height
S_Ch_018;N_Ch_092;Chimpanzee;Chim_120;Young secondary forest;YSF;Pl_3018;Pl_3018-S_Ch_018;Pl_3018-N_Ch_092;Tree;9;Esp_314;Sorindeia grandifolia;Anacardiaceae;11;15.06;Tree;Tree;Side;Height
S_Ch_019;N_Ch_093;Chimpanzee;Chim_120;Young secondary forest;YSF;Plsc_01;Plsc_01-S_Ch_019;Plsc_01-N_Ch_093;Tree;5;Esp_103;Anthonotha sp;Caesalpiniaceae;5;8.98;Tree;Tree-Tree;Top-Side;Height
S_Ch_019;N_Ch_093;Chimpanzee;Chim_120;Young secondary forest;YSF;Pl_3021;Pl_3021-S_Ch_019;Pl_3021-N_Ch_093;Tree;5;Esp_314;Sorindeia grandifolia;Anacardiaceae;11;12.45;Tree;Tree-Tree;Top-Side;Height
S_Ch_020;N_Ch_094;Chimpanzee;Chim_055;Old secondary forest;OSF;Pl_1400;Pl_1400-S_Ch_020;Pl_1400-N_Ch_094;Tree;7;Esp_363;Uapaca guineensis;Euphorbiaceae;9;13.09;Tree;Tree;Side;Height
S_Ch_021;N_Ch_095;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1567;Pl_1567-S_Ch_021;Pl_1567-N_Ch_095;Tree;10;Esp_163;Heisteria parvifolia;Olacaceae;29;38.22;Tree;Tree;Side;Height
S_Ch_021;N_Ch_096;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1567;Pl_1567-S_Ch_021;Pl_1567-N_Ch_096;Tree;12;Esp_163;Heisteria parvifolia;Olacaceae;29;38.22;Tree;Tree;Side;Height
S_Ch_021;N_Ch_097;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1567;Pl_1567-S_Ch_021;Pl_1567-N_Ch_097;Tree;8;Esp_163;Heisteria parvifolia;Olacaceae;27;38.22;Tree;Tree;Side;Height
S_Ch_021;N_Ch_098;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1567;Pl_1567-S_Ch_021;Pl_1567-N_Ch_098;Tree;8;Esp_163;Heisteria parvifolia;Olacaceae;27;38.22;Tree;Tree;Side;Height
S_Ch_022;N_Ch_099;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1576;Pl_1576-S_Ch_022;Pl_1576-N_Ch_099;Tree;17;Esp_163;Heisteria parvifolia;Olacaceae;32;60.51;Tree;Tree;Side;Height
