Nesting_Site_Code;Nest_code;Animal_Species;Plot_Code;Vegetation_Type;VEG;Plant_Code;Tree_Site;Tree_Nest;T_L_R_H;Nest_height;Species_Code;Species;Family;Tree_Height;DBH;Nest_material;Integration;Nest_Type;Nest_Type2
S_Ch_086;N_Ch_301;Chimpanzee;Chim_022;Old secondary forest;OSF;Pl_0537;Pl_0537-S_Ch_086;Pl_0537-N_Ch_301;Tree;19;Esp_277;Plagiostyles africana;Euphorbiaceae;25;41.08;Tree;Tree;Side;Height
S_Ch_089;N_Ch_312;Chimpanzee;Chim_020;Old secondary forest;OSF;Pl_0490;Pl_0490-S_Ch_089;Pl_0490-N_Ch_312;Tree;33;Esp_163;Heisteria parvifolia;Olacaceae;33;35.03;Tree;Tree;Top;Height
S_Ch_089;N_Ch_313;Chimpanzee;Chim_020;Old secondary forest;OSF;Pl_0490;Pl_0490-S_Ch_089;Pl_0490-N_Ch_313;Tree;23;Esp_163;Heisteria parvifolia;Olacaceae;33;35.03;Tree;Tree;Side;Height
S_Ch_089;N_Ch_314;Chimpanzee;Chim_020;Old secondary forest;OSF;Pl_0490;Pl_0490-S_Ch_089;Pl_0490-N_Ch_314;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;33;35.03;Tree;Tree;Side;Height
S_Ch_089;N_Ch_315;Chimpanzee;Chim_020;Old secondary forest;OSF;Pl_0490;Pl_0490-S_Ch_089;Pl_0490-N_Ch_315;Tree;12;Esp_163;Heisteria parvifolia;Olacaceae;33;35.03;Tree;Tree;Side;Height
S_Ch_089;N_Ch_316;Chimpanzee;Chim_020;Old secondary forest;OSF;Pl_0490;Pl_0490-S_Ch_089;Pl_0490-N_Ch_316;Tree;16;Esp_163;Heisteria parvifolia;Olacaceae;33;35.03;Tree;Tree;Side;Height
S_Ch_089;N_Ch_317;Chimpanzee;Chim_020;Old secondary forest;OSF;Pl_0490;Pl_0490-S_Ch_089;Pl_0490-N_Ch_317;Tree;17;Esp_163;Heisteria parvifolia;Olacaceae;33;35.03;Tree;Tree;Side;Height
S_Ch_091;N_Ch_319;Chimpanzee;Chim_019;Old secondary forest;OSF;Pl_0469;Pl_0469-S_Ch_091;Pl_0469-N_Ch_319;Tree;22;Esp_163;Heisteria parvifolia;Olacaceae;34;42.04;Tree;Tree;Side;Height
S_Ch_091;N_Ch_320;Chimpanzee;Chim_019;Old secondary forest;OSF;Pl_0469;Pl_0469-S_Ch_091;Pl_0469-N_Ch_320;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;34;42.04;Tree;Tree;Side;Height
S_Ch_091;N_Ch_321;Chimpanzee;Chim_019;Old secondary forest;OSF;Pl_0469;Pl_0469-S_Ch_091;Pl_0469-N_Ch_321;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;34;42.04;Tree;Tree;Side;Height
S_Ch_091;N_Ch_322;Chimpanzee;Chim_019;Old secondary forest;OSF;Pl_0469;Pl_0469-S_Ch_091;Pl_0469-N_Ch_322;Tree;6;Esp_163;Heisteria parvifolia;Olacaceae;34;42.04;Tree;Tree;Side;Height
S_Ch_091;N_Ch_323;Chimpanzee;Chim_019;Old secondary forest;OSF;Pl_0470;Pl_0470-S_Ch_091;Pl_0470-N_Ch_323;Tree;22;Esp_163;Heisteria parvifolia;Olacaceae;40;49.04;Tree;Tree;Side;Height
S_Ch_091;N_Ch_324;Chimpanzee;Chim_019;Old secondary forest;OSF;Pl_0470;Pl_0470-S_Ch_091;Pl_0470-N_Ch_324;Tree;10;Esp_163;Heisteria parvifolia;Olacaceae;40;49.04;Tree;Tree;Side;Height
S_Ch_091;N_Ch_325;Chimpanzee;Chim_019;Old secondary forest;OSF;Pl_0470;Pl_0470-S_Ch_091;Pl_0470-N_Ch_325;Tree;20;Esp_163;Heisteria parvifolia;Olacaceae;40;49.04;Tree;Tree;Side;Height
S_Ch_091;N_Ch_326;Chimpanzee;Chim_019;Old secondary forest;OSF;Pl_0470;Pl_0470-S_Ch_091;Pl_0470-N_Ch_326;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;40;49.04;Tree;Tree;Side;Height
S_Ch_092;N_Ch_327;Chimpanzee;Chim_018;Young secondary forest;YSF;Pl_0426;Pl_0426-S_Ch_092;Pl_0426-N_Ch_327;Tree;32;Esp_163;Heisteria parvifolia;Olacaceae;32;52.55;Tree;Tree;Top;Height
S_Ch_093;N_Ch_328;Chimpanzee;Chim_017;Old secondary forest;OSF;Pl_0401;Pl_0401-S_Ch_093;Pl_0401-N_Ch_328;Tree;20;Esp_163;Heisteria parvifolia;Olacaceae;33;52.87;Tree;Tree;Side;Height
S_Ch_093;N_Ch_329;Chimpanzee;Chim_017;Old secondary forest;OSF;Pl_0401;Pl_0401-S_Ch_093;Pl_0401-N_Ch_329;Tree;11;Esp_163;Heisteria parvifolia;Olacaceae;39;52.87;Tree;Tree;Side;Height
S_Ch_093;N_Ch_330;Chimpanzee;Chim_017;Old secondary forest;OSF;Pl_0401;Pl_0401-S_Ch_093;Pl_0401-N_Ch_330;Tree;21;Esp_163;Heisteria parvifolia;Olacaceae;39;52.87;Tree;Tree;Side;Height
S_Ch_093;N_Ch_331;Chimpanzee;Chim_017;Old secondary forest;OSF;Pl_0401;Pl_0401-S_Ch_093;Pl_0401-N_Ch_331;Tree;33;Esp_163;Heisteria parvifolia;Olacaceae;33;52.87;Tree;Tree;Top;Height
S_Ch_094;N_Ch_332;Chimpanzee;Chim_002;Old secondary forest;OSF;Pl_0058;Pl_0058-S_Ch_094;Pl_0058-N_Ch_332;Tree;7;Esp_163;Heisteria parvifolia;Olacaceae;33;24.33;Tree;Tree;Side;Height
S_Ch_094;N_Ch_333;Chimpanzee;Chim_002;Old secondary forest;OSF;Pl_0058;Pl_0058-S_Ch_094;Pl_0058-N_Ch_333;Tree;9;Esp_163;Heisteria parvifolia;Olacaceae;33;24.33;Tree;Tree;Side;Height
S_Ch_094;N_Ch_334;Chimpanzee;Chim_002;Old secondary forest;OSF;Pl_0058;Pl_0058-S_Ch_094;Pl_0058-N_Ch_334;Tree;8;Esp_163;Heisteria parvifolia;Olacaceae;33;24.33;Tree;Tree;Side;Height
S_Ch_094;N_Ch_335;Chimpanzee;Chim_002;Old secondary forest;OSF;Pl_0053;Pl_0053-S_Ch_094;Pl_0053-N_Ch_335;Tree;33;Esp_375;Vitex rivularis;Verbenaceae;43;69.43;Tree;Tree;Side;Height
S_Ch_094;N_Ch_336;Chimpanzee;Chim_002;Old secondary forest;OSF;Pl_0045;Pl_0045-S_Ch_094;Pl_0045-N_Ch_336;Tree;34;Esp_267;Pausinystalia lane-poolei;Rubiaceae;40;32.87;Tree;Tree;Side;Height
S_Ch_094;N_Ch_337;Chimpanzee;Chim_002;Old secondary forest;OSF;Pl_0082;Pl_0082-S_Ch_094;Pl_0082-N_Ch_337;Tree;16;Esp_163;Heisteria parvifolia;Olacaceae;16;20.57;Tree;Tree;Side;Height
S_Ch_094;N_Ch_338;Chimpanzee;Chim_002;Old secondary forest;OSF;Pl_0047;Pl_0047-S_Ch_094;Pl_0047-N_Ch_338;Tree;15;Esp_163;Heisteria parvifolia;Olacaceae;39;53.82;Tree;Tree;Side;Height
S_Ch_097;N_Ch_344;Chimpanzee;Chim_127;Old secondary forest;OSF;Pl_3219;Pl_3219-S_Ch_097;Pl_3219-N_Ch_344;Tree;20;Esp_163;Heisteria parvifolia;Olacaceae;28;41.08;Tree;Tree;Side;Height
S_Ch_097;N_Ch_345;Chimpanzee;Chim_127;Old secondary forest;OSF;Pl_3219;Pl_3219-S_Ch_097;Pl_3219-N_Ch_345;Tree;22;Esp_163;Heisteria parvifolia;Olacaceae;28;41.08;Tree;Tree;Side;Height
S_Ch_097;N_Ch_346;Chimpanzee;Chim_127;Old secondary forest;OSF;Pl_3219;Pl_3219-S_Ch_097;Pl_3219-N_Ch_346;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;28;41.08;Tree;Tree;Side;Height
S_Ch_097;N_Ch_347;Chimpanzee;Chim_127;Old secondary forest;OSF;Pl_3219;Pl_3219-S_Ch_097;Pl_3219-N_Ch_347;Tree;18;Esp_163;Heisteria parvifolia;Olacaceae;28;41.08;Tree;Tree;Side;Height
S_Ch_097;N_Ch_348;Chimpanzee;Chim_127;Old secondary forest;OSF;Pl_3219;Pl_3219-S_Ch_097;Pl_3219-N_Ch_348;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;28;41.08;Tree;Tree;Side;Height
S_Ch_097;N_Ch_349;Chimpanzee;Chim_127;Old secondary forest;OSF;Pl_3219;Pl_3219-S_Ch_097;Pl_3219-N_Ch_349;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;28;41.08;Tree;Tree;Side;Height
